ID,Folder name,First name,Last name,DOB,Email,Phone number,Address,Product,Policy #,Effective,Expiry,Carrier,Premium,Deductible,Coverage,Notes
0,ALLEN BARRY TRAVEL,BARRY,ALLEN,1990-03-15,BARRY.ALLEN@GMAIL.COM,+1 (613) 555-0142,"742 EVERGREEN TERRACE, CENTRAL CITY, ON K1A 0B1",Travel,MFTI100234567,2024-06-01,2024-09-01,Manulife,189.50 CAD,0.00 CAD,50000.00 CAD,Source: confirmation.pdf; single trip emergency medical
1,BANNER BRUCE JF,BRUCE,BANNER,1969-12-18,BRUCE.BANNER@YAHOO.COM,+1 (416) 555-0198,"12 GAMMA DR, TORONTO, ON M5V 2T6",Visitors Canada,JFR710234,2024-01-10,2024-07-10,Berkley Canada,1245.00 CAD,0.00 CAD,100000.00 CAD,Source: policy_confirmation.pdf; underwritten by Berkley Canada
2,BARTON CLINT FAMILY TRAVEL,CLINT,BARTON,1981-06-22,CLINT.BARTON@OUTLOOK.COM,+1 (905) 555-0173,"45 ARCHER LANE, MARKHAM, ON L3R 5K2",Visitors Canada,DTCM845123,2024-03-15,2024-06-15,Manulife,312.40 CAD,0.00 CAD,50000.00 CAD,Family plan; shared premium; source: confirmation.pdf
3,BARTON CLINT FAMILY TRAVEL,LAURA,BARTON,1983-09-14,CLINT.BARTON@OUTLOOK.COM,+1 (905) 555-0173,"45 ARCHER LANE, MARKHAM, ON L3R 5K2",Visitors Canada,DTCM845124,2024-03-15,2024-06-15,Manulife,312.40 CAD,0.00 CAD,50000.00 CAD,Family plan; shared premium; source: confirmation.pdf
4,CURRY ARTHUR DESTINATION,ARTHUR,CURRY,1986-01-29,ARTHUR.CURRY@GMAIL.COM,+1 (604) 555-0156,"880 PACIFIC BLVD, VANCOUVER, BC V6B 4Y8",Visitors Canada,DTCZ910456,2025-01-05,2025-04-05,Zurich Insurance Company Ltd (Canadian Branch),423.60 CAD,0.00 CAD,50000.00 CAD,Source: confirmation.pdf
5,DRAKE TIM BLUE CROSS,TIM,DRAKE,2003-07-19,TIM.DRAKE@GMAIL.COM,+1 (647) 555-0134,"99 DETECTIVE WAY, NORTH YORK, ON M2N 6L9",Complete Health,0041200015,,2026-01-01,Ontario Blue Cross,85.00 CAD,250.00 CAD,,Source: enrollment_form.pdf; monthly premium
6,FOX LUCIUS DENTAL,LUCIUS,FOX,1955-04-03,LUCIUS.FOX@WAYNEENT.COM,+1 (416) 555-0189,"1 WAYNE TOWER, TORONTO, ON M5H 2N2",Dental,GRP-887451,2024-01-01,2024-12-31,Sun Life,62.50 CAD,50.00 CAD,2500.00 CAD,Group dental plan; source: enrollment_certificate.pdf
7,FURY NICK DESTINATION,NICK,FURY,1960-08-21,NICK.FURY@SHIELD.COM,+1 (613) 555-0177,"200 KING ST W, OTTAWA, ON K1P 6L5",Visitors Canada,DTCM923001,2025-02-01,2025-08-01,Manulife,1890.00 CAD,0.00 CAD,100000.00 CAD,Source: confirmation.pdf; extended stay coverage
8,GORDON BARBARA JF,BARBARA,GORDON,1993-02-11,BARBARA.GORDON@GMAIL.COM,+1 (905) 555-0145,"34 LIBRARY LANE, HAMILTON, ON L8P 4S6",International Student,JFS734210,2023-09-01,2024-08-31,JF Insurance Agency Group Inc.,584.00 CAD,,5000000.00 CAD,Source: policy.pdf; student health plan
9,GRAYSON DICK MANULIFE,DICK,GRAYSON,1990-11-30,DICK.GRAYSON@OUTLOOK.COM,+1 (416) 555-0112,"78 ACROBAT AVE, TORONTO, ON M4S 1A1",Travel,MFTI102456789,2024-08-15,2024-09-15,Manulife,134.20 CAD,0.00 CAD,50000.00 CAD,Source: confirmation.pdf; single trip emergency medical
10,GREY JEAN MANULIFE,JEAN,GREY,1980-05-06,JEAN.GREY@XMAIL.COM,+1 (514) 555-0199,"1407 GRAYMALKIN LANE, MONTREAL, QC H3A 1T8",Visitors to Canada,MFTI101889234,2023-11-01,2024-04-30,Manulife,876.45 CAD,0.00 CAD,100000.00 CAD,Source: policy.pdf; total amount paid used as premium
11,HOWLETT LOGAN BLUE CROSS,LOGAN,HOWLETT,1974-10-12,LOGAN.HOWLETT@GMAIL.COM,+1 (780) 555-0168,"55 WILDERNESS RD, EDMONTON, AB T5J 3S9",Life,LC-9923410,2020-06-01,2050-06-01,Blue Cross Life,145.00 CAD,,500000.00 CAD,Source: life_certificate.pdf; monthly premium via PAD
12,JORDAN HAL MANULIFE,HAL,JORDAN,1985-02-20,HAL.JORDAN@GMAIL.COM,+1 (604) 555-0123,"2814 OANET CRES, BURNABY, BC V5C 3H7",Travel,MFTI101334567,2023-05-01,2023-06-01,Manulife,98.75 CAD,0.00 CAD,50000.00 CAD,Source: confirmation.pdf; single trip
13,KENT CLARK TRAVEL,CLARK,KENT,1978-06-18,CLARK.KENT@DAILYPLANET.COM,+1 (416) 555-0136,"344 CLINTON ST, TORONTO, ON M6G 2Y8",Visitors Canada,DTCM756890,2024-02-01,2024-05-01,Manulife,267.30 CAD,0.00 CAD,50000.00 CAD,Source: confirmation.pdf
14,KENT CLARK TRAVEL,LOIS,LANE,1980-09-25,CLARK.KENT@DAILYPLANET.COM,+1 (416) 555-0136,"344 CLINTON ST, TORONTO, ON M6G 2Y8",Visitors Canada,DTCM756891,2024-02-01,2024-05-01,Manulife,245.10 CAD,0.00 CAD,50000.00 CAD,Family plan; shared premium; source: confirmation.pdf
15,KYLE SELINA LIFE,SELINA,KYLE,1988-03-14,SELINA.KYLE@OUTLOOK.COM,+1 (647) 555-0191,"9 LIVES BLVD, TORONTO, ON M5A 3C7",Life,EL-2034891,2022-01-15,2052-01-15,Empire Life,210.00 CAD,,750000.00 CAD,Source: life_certificate.pdf; monthly PAD 17.50 CAD
16,MAXIMOFF WANDA TRAVEL,WANDA,MAXIMOFF,1989-02-10,WANDA.MAXIMOFF@GMAIL.COM,+1 (519) 555-0147,"23 HEX LANE, KITCHENER, ON N2H 5A3",Visitors Canada,DTCZ887654,2025-03-01,2025-06-01,Zurich Insurance Company Ltd (Canadian Branch),356.80 CAD,0.00 CAD,50000.00 CAD,Source: confirmation.pdf
17,MCCOY HANK JF,HANK,MCCOY,1972-09-08,HANK.MCCOY@XMAIL.COM,+1 (514) 555-0182,"1407 GRAYMALKIN LANE, WESTMOUNT, QC H3Z 2A7",Visitor to Canada,JFVTC812345,2024-06-01,2024-12-01,Old Republic Insurance Company of Canada,567.80 CAD,0.00 CAD,50000.00 CAD,Source: policy.pdf; underwritten by Old Republic
18,MUNROE ORORO DESTINATION,ORORO,MUNROE,1985-07-22,ORORO.MUNROE@XMAIL.COM,+1 (604) 555-0154,"1407 GRAYMALKIN LANE, VANCOUVER, BC V6T 1Z4",Visitors Canada,DTCM891023,2024-09-01,2025-03-01,Manulife,934.50 CAD,0.00 CAD,100000.00 CAD,Source: confirmation.pdf; extended stay
19,PARKER PETER MANULIFE,PETER,PARKER,1996-08-10,PETER.PARKER@DAILYBUGLE.COM,+1 (416) 555-0170,"20 INGRAM ST, TORONTO, ON M5T 1J6",Travel,MFTI102678901,2024-12-20,2025-01-05,Manulife,72.30 CAD,0.00 CAD,25000.00 CAD,Source: confirmation.pdf; holiday trip coverage
20,PENNYWORTH ALFRED TRAVEL,ALFRED,PENNYWORTH,1945-11-28,ALFRED.P@WAYNEENT.COM,+1 (416) 555-0188,"1 WAYNE TOWER, TORONTO, ON M5H 2N2",Visitors Canada,DTCZ901234,2025-04-01,2025-10-01,Zurich Insurance Company Ltd (Canadian Branch),2340.00 CAD,0.00 CAD,100000.00 CAD,Source: confirmation.pdf; pre-existing condition coverage stable 180 days
21,PRINCE DIANA LIFE,DIANA,PRINCE,1984-03-22,DIANA.PRINCE@OUTLOOK.COM,+1 (613) 555-0165,"1 EMBASSY ROW, OTTAWA, ON K1N 9E6",Life,ML-5567234,2021-09-01,2051-09-01,Manulife,340.00 CAD,,1000000.00 CAD,Source: life_certificate.pdf; annual premium via PAD
22,QUEEN OLIVER BLUE CROSS,OLIVER,QUEEN,1985-01-15,OLIVER.QUEEN@QUEENIND.COM,+1 (604) 555-0132,"1 STAR CITY DR, VANCOUVER, BC V6B 1A1",Complete Health,0039800018,2024-04-01,2025-03-31,Ontario Blue Cross,112.00 CAD,500.00 CAD,,Source: enrollment_form.pdf; monthly premium
23,ROGERS STEVE BLUE CROSS,STEVE,ROGERS,1918-07-04,STEVE.ROGERS@AVENGERS.COM,+1 (416) 555-0176,"569 LEAMAN PL, TORONTO, ON M4E 2R6",Visitors Canada,DTCM678901,2024-05-01,2024-11-01,Manulife,1567.00 CAD,0.00 CAD,100000.00 CAD,Source: confirmation.pdf
24,ROMANOFF NATASHA DENTAL,NATASHA,ROMANOFF,1984-11-22,NATASHA.R@SHIELD.COM,+1 (613) 555-0149,"300 SPARKS ST, OTTAWA, ON K1R 7S8",Dental,GRP-990123,2024-01-01,2024-12-31,Great-West Life,78.00 CAD,100.00 CAD,3000.00 CAD,Group dental plan; source: enrollment_certificate.pdf
25,TODD JASON DESTINATION,JASON,TODD,1993-08-16,JASON.TODD@OUTLOOK.COM,+1 (416) 555-0193,"14 CRIME ALLEY, TORONTO, ON M5A 1E1",Visitors Canada,DTCM912345,2024-10-01,2025-01-01,Manulife,198.60 CAD,0.00 CAD,50000.00 CAD,Source: confirmation.pdf; single trip
26,VISION PAUL MANULIFE,PAUL,VISION,1990-04-30,PAUL.VISION@GMAIL.COM,+1 (905) 555-0161,"88 SYNTHEZOID WAY, MISSISSAUGA, ON L5B 3C2",Travel,MFTI102890123,2025-01-15,2025-02-15,Manulife,87.40 CAD,0.00 CAD,25000.00 CAD,Source: confirmation.pdf; single trip emergency medical
